Timestamp,Temperature (°C),Humidity (%),Pressure (hPa)
2024-10-15 23:05:59,38.15,32.37,995.97
2024-10-15 23:06:09,38.14,32.10,995.93
2024-10-15 23:06:19,38.24,31.96,995.97
2024-10-15 23:06:29,38.26,33.25,995.98
2024-10-15 23:06:39,38.14,32.91,995.89
2024-10-15 23:06:49,38.17,32.55,995.97
